,company_name,company_url
401,راهکار حامی پرداز,https://jobinja.ir/companies/rahkar-hami-pardaz/jobs
402,گروه تولیدی صنعتی مرادی,https://jobinja.ir/companies/moradi-3/jobs
403,جورچین مدیا,https://jobinja.ir/companies/jourchinmedia/jobs
404,کافه کلابار,https://jobinja.ir/companies/clubar-cafe/jobs
405,صنعتی بازرگانی ره شتاب مدرن,https://jobinja.ir/companies/sanati-bazargani-rah-shetab-modern/jobs
406,ماهان ورک,https://jobinja.ir/companies/mahanwork/jobs
407,زرین استیل,https://jobinja.ir/companies/zarrin-steel/jobs
408,ساختمانی راسوند بنا,https://jobinja.ir/companies/rasvand-bana/jobs
409,لیماک,https://jobinja.ir/companies/limaksys/jobs
410,تدی فود,https://jobinja.ir/companies/teddy-food/jobs
411,دمی نو,https://jobinja.ir/companies/damyno-1/jobs
412,پخش عمده نمازی خواه,https://jobinja.ir/companies/namazikhah-shop/jobs
413,سورل,https://jobinja.ir/companies/sorrel/jobs
414,الوند,https://jobinja.ir/companies/alvand-18/jobs
415,موبایل هماهنگ,https://jobinja.ir/companies/mobil-hamahang/jobs
416,ایده آل,https://jobinja.ir/companies/ideal-16/jobs
